CE ID,Contracting Entity,Type of Organization,Program Type (SFSP or SSFO),Type of SFSP,TDA Region,ESC Region,County, Sites Claiming , Breakfast Days Claimed , Severe Need Breakfast Days Claimed , AM Snack Days Claimed , Lunch Days Claimed , PM Snack Days Claimed , Supper Days Claimed , Breakfast Meals , Severe Need Breakfast Meals , AM Snack Meals , Lunch Meals , LUNCH ADP , PM Snack Meals , Supper Meals , TOTAL MEALS , Breakfast Reimbursement , Severe Need Breakfast Reimbursement , AM Snack Reimbursement , Lunch Reimbursement , PM Snack Reimbursement , Supper Reimbursement , Admin Reimbursement , Total Reimbursement 
11,LUFKIN ISD,Educational Institution,SFSP,School Food Authority,3,7,Angelina ,22,34, -   , -   ,35, -   , -   ,"16,328", -   , -   ,"26,526",758, -   , -   ,"42,854","30,860", -   , -   ,"87,536", -   , -   ,"12,213","130,609"
21,CHARLOTTE ISD,Educational Institution,SFSP,School Food Authority,4,20,Atascosa ,1,13, -   , -   ,13, -   , -   ,750, -   , -   ,827,64, -   , -   ,"1,577","1,418", -   , -   ,"2,729", -   , -   ,426,"4,573"
22,JOURDANTON ISD,Educational Institution,SFSP,School Food Authority,4,20,Atascosa ,1,20, -   , -   ,20, -   , -   ,231, -   , -   ,645,32, -   , -   ,876,437, -   , -   ,"2,129", -   , -   ,266,"2,831"
24,PLEASANTON ISD,Educational Institution,SFSP,School Food Authority,4,20,Atascosa ,5,19, -   , -   ,19, -   , -   ,864, -   , -   ,"1,532",81, -   , -   ,"2,396","1,633", -   , -   ,"5,056", -   , -   ,691,"7,379"
25,POTEET ISD,Educational Institution,SFSP,School Food Authority,4,20,Atascosa ,2,16, -   , -   ,16, -   , -   ,"2,476", -   , -   ,"4,234",265, -   , -   ,"6,710","4,680", -   , -   ,"13,972", -   , -   ,"1,925","20,577"
29,MULESHOE ISD,Educational Institution,SFSP,School Food Authority,1,17,Bailey ,3,22, -   , -   ,22, -   , -   ,"2,036", -   , -   ,"2,918",133, -   , -   ,"4,954","3,848", -   , -   ,"9,629", -   , -   ,"1,388","14,866"
33,ELGIN ISD,Educational Institution,SFSP,School Food Authority,4,13,Bastrop ,6,22, -   , -   ,22, -   , -   ,"6,971", -   , -   ,"11,000",500, -   , -   ,"17,971","13,175", -   , -   ,"36,300", -   , -   ,"5,102","54,577"
34,SMITHVILLE ISD,Educational Institution,SFSP,School Food Authority,4,13,Bastrop ,17,44, -   , -   ,44, -   , -   ,"2,516", -   , -   ,"6,626",151, -   , -   ,"9,142","4,755", -   , -   ,"21,866", -   , -   ,"2,758","29,379"
35,MCDADE ISD,Educational Institution,SFSP,School Food Authority,4,13,Bastrop ,1,15, -   , -   ,15, -   , -   ,235, -   , -   ,333,22, -   , -   ,568,444, -   , -   ,"1,099", -   , -   ,159,"1,702"
46,HOLLAND ISD,Educational Institution,SFSP,School Food Authority,2,12,Bell ,2,24, -   , -   ,24, -   , -   ,"1,145", -   , -   ,"1,311",55, -   , -   ,"2,456","2,164", -   , -   ,"4,326", -   , -   ,667,"7,157"
47,KILLEEN ISD,Educational Institution,SFSP,School Food Authority,2,12,Bell ,93,49, -   , -   ,49, -   , -   ,"58,206", -   , -   ,"117,630","2,401", -   , -   ,"175,836","110,009", -   , -   ,"388,179", -   , -   ,"51,496","549,684"
50,TEMPLE ISD,Educational Institution,SFSP,School Food Authority,2,12,Bell ,18,47, -   , -   ,47,47, -   ,"11,936", -   , -   ,"28,954",616,"5,923", -   ,"46,813","22,559", -   , -   ,"95,548","4,561", -   ,"12,790","135,458"
63,ACADEMY OF CAREERS & TECHNOLOGIES,Educational Institution,SFSP,School Food Authority,4,20,Bexar ,6,49, -   , -   ,49, -   , -   ,"4,076", -   , -   ,"5,169",105, -   , -   ,"9,245","7,704", -   , -   ,"17,058", -   , -   ,"2,548","27,309"
85,NORTH EAST ISD,Educational Institution,SFSP,School Food Authority,4,20,Bexar ,34,35, -   , -   ,39,39, -   ,"38,949", -   , -   ,"70,876","1,817","17,164", -   ,"126,989","73,614", -   , -   ,"233,891","13,216", -   ,"33,386","354,106"
87,SOUTHWEST ISD,Educational Institution,SFSP,School Food Authority,4,20,Bexar ,8,37, -   , -   ,37, -   , -   ,"13,685", -   , -   ,"19,432",525, -   , -   ,"33,117","25,865", -   , -   ,"64,126", -   , -   ,"9,270","99,260"
91,JUDSON ISD,Educational Institution,SFSP,School Food Authority,4,20,Bexar ,20,33, -   ,5,33, -   , -   ,"13,561", -   ,605,"29,748",901, -   , -   ,"43,914","25,630", -   ,466,"98,168", -   , -   ,"12,863","137,128"
112,ALVIN ISD,Educational Institution,SFSP,School Food Authority,3,4,Brazoria ,6,32, -   , -   ,32, -   , -   ,"10,463", -   , -   ,"15,493",484, -   , -   ,"25,956","19,775", -   , -   ,"51,127", -   , -   ,"7,307","78,209"
